Symbol,Name,Sector,Industry
ZETA,Zeta Global Holdings Corp. Class A Common Stock,Technology,Computer Software: Prepackaged Software
LIVN,LivaNova PLC Ordinary Shares,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
LBRT,Liberty Energy Inc. Class A common stock,Energy,Oilfield Services/Equipment
LFTO,Liftoff Mobile Inc. Common Stock,Technology,EDP Services
RXO,RXO Inc. Common Stock,Consumer Discretionary,Transportation Services
VRNS,Varonis Systems Inc. Common Stock,Technology,Computer Software: Prepackaged Software
ATMU,Atmus Filtration Technologies Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
IRDM,Iridium Communications Inc Common Stock,Telecommunications,Telecommunications Equipment
KTB,Kontoor Brands Inc. Common Stock,Industrials,Garments and Clothing
GFF,Griffon Corporation Common Stock,Industrials,Building Products
BBWI,Bath & Body Works Inc.,Consumer Discretionary,Clothing/Shoe/Accessory Stores
OCTV,Octave Intelligence plc Class B Ordinary Shares,Technology,Computer Software: Prepackaged Software
NWE,NorthWestern Energy Group Inc. Common Stock,Utilities,Power Generation
QS,QuantumScape Corporation Class A Common Stock,Miscellaneous,Industrial Machinery/Components
BEPI,Brookfield BRP Holdings (Canada) Inc. 4.875% Perpetual Subordinated Notes,Utilities,Electric Utilities: Central
PFSI,PennyMac Financial Services Inc. Common Stock,Finance,Finance: Consumer Services
KNSA,Kiniksa Pharmaceuticals International plc Class A Ordinary Shares,Health Care,Biotechnology: Pharmaceutical Preparations
KRC,Kilroy Realty Corporation Common Stock,Real Estate,Real Estate Investment Trusts
TNGX,Tango Therapeutics Inc.,Health Care,Biotechnology: Pharmaceutical Preparations
PAM,Pampa Energia S.A.,Utilities,Electric Utilities: Central
LBRDK,Liberty Broadband Corporation Class C Common Stock,Telecommunications,Cable & Other Pay Television Services
LBRDA,Liberty Broadband Corporation Class A Common Stock,Telecommunications,Cable & Other Pay Television Services
NVST,Envista Holdings Corporation Common Stock,Health Care,Medical/Dental Instruments
LBTYB,Liberty Global Ltd. Class B Common Shares,Telecommunications,Cable & Other Pay Television Services
DHCNI,Diversified Healthcare Trust 5.625% Senior Notes due 2042,Real Estate,Real Estate Investment Trusts
STUB,StubHub Holdings Inc. Class A Common Stock,Consumer Discretionary,Services-Misc. Amusement & Recreation
OXLCM,Oxford Lane Capital Corp. Preferred Stock Shares 8.25% Series 2031,Finance,Investment Managers
OLLI,Ollie's Bargain Outlet Holdings Inc. Common Stock,Consumer Discretionary,Department/Specialty Retail Stores
DTW,DTE Energy Company 2017 Series E 5.25% Junior Subordinated Debentures due 2077,Utilities,Electric Utilities: Central
HGV,Hilton Grand Vacations Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
LMND,Lemonade Inc. Common Stock,Finance,Property-Casualty Insurers
VKTX,Viking Therapeutics Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
TPC,Tutor Perini Corporation Common Stock,Consumer Discretionary,General Bldg Contractors - Nonresidential Bldgs
WHD,Cactus Inc. Class A Common Stock,Consumer Discretionary,Oil and Gas Field Machinery
ATAT,Atour Lifestyle Holdings Limited American Depositary Shares,Consumer Discretionary,Hotels/Resorts
OXLCN,Oxford Lane Capital Corp. 7.125% Series 2029 Term Preferred Stock,Finance,Investment Managers
VNT,Vontier Corporation Common Stock,Industrials,Industrial Machinery/Components
OXLCZ,Oxford Lane Capital Corp. 5.00% Notes due 2027,Finance,Finance Companies
CAAP,Corporacion America Airports SA Common Shares,Consumer Discretionary,Aerospace
FHI,Federated Hermes Inc. Common Stock,Finance,Investment Managers
ELC,Entergy Louisiana Inc. Collateral Trust Mortgage Bonds 4.875 % Series due September 1 2066,Utilities,Electric Utilities: Central
COLD,Americold Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
EE,Excelerate Energy Inc. Class A Common Stock,Utilities,Oil/Gas Transmission
BFH,Bread Financial Holdings Inc. Common Stock,Consumer Discretionary,Business Services
TDS,Telephone and Data Systems Inc. Common Shares,Telecommunications,Telecommunications Equipment
HLNE,Hamilton Lane Incorporated Class A Common Stock,Finance,Investment Managers
FCN,FTI Consulting Inc. Common Stock,Consumer Discretionary,Professional Services
OXLCL,Oxford Lane Capital Corp. 6.75% Notes due 2031,Finance,Finance Companies
MMSI,Merit Medical Systems Inc. Common Stock,Health Care,Medical/Dental Instruments
CVSA,Covista Inc. Common Shares,Real Estate,Other Consumer Services
BRC,Brady Corporation Common Stock,Consumer Discretionary,Miscellaneous manufacturing industries
MWA,MUELLER WATER PRODUCTS Common Stock,Industrials,Metal Fabrications
BEPH,Brookfield BRP Holdings (Canada) Inc. 4.625% Perpetual Subordinated Notes,Utilities,Electric Utilities: Central
OPLN,OPENLANE Inc. Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
KVYO,Klaviyo Inc. Series A Common Stock,Technology,Computer Software: Prepackaged Software
GPGI,GPGI Inc. Class A Common Stock,Finance,Finance: Consumer Services
UCB,United Community Banks Inc. Common Stock,Finance,Major Banks
NVTS,Navitas Semiconductor Corporation Common Stock,Technology,Semiconductors
HHH,Howard Hughes Holdings Inc. Common Stock,Real Estate,Real Estate Investment Trusts
REGCP,Regency Centers Corporation 6.25% Series A Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
CATY,Cathay General Bancorp Common Stock,Finance,Major Banks
OPEN,Opendoor Technologies Inc Common Stock,Finance,Real Estate
CNR,Core Natural Resources Inc. Common Stock,Energy,Coal Mining
DAVE,Dave Inc. Class A Common Stock,Finance,Finance: Consumer Services
PLNT,Planet Fitness Inc. Common Stock,Consumer Discretionary,Hotels/Resorts
OXLCO,Oxford Lane Capital Corp. Preferred Stock Shares 6.00% Series 2029,Finance,Investment Managers
INDB,Independent Bank Corp. Common Stock,Finance,Major Banks
TAC,TransAlta Corporation Ordinary Shares,Utilities,Electric Utilities: Central
BMI,Badger Meter Inc. Common Stock,Industrials,Industrial Machinery/Components
FBP,First BanCorp. New Common Stock,Finance,Major Banks
PII,Polaris Inc. Common Stock,Consumer Discretionary,Industrial Specialties
QLYS,Qualys Inc. Common Stock,Technology,Computer Software: Prepackaged Software
SXI,Standex International Corporation Common Stock,Industrials,Industrial Machinery/Components
OLED,Universal Display Corporation Common Stock,Technology,Electrical Products
PI,Impinj Inc. Common Stock,Technology,Industrial Machinery/Components
KBR,KBR Inc. Common Stock,Industrials,Military/Government/Technical
MHO,M/I Homes Inc. Common Stock,Consumer Discretionary,Homebuilding
CRK,Comstock Resources Inc. Common Stock,Energy,Oil & Gas Production
CLSK,CleanSpark Inc. Common Stock,Finance,Finance: Consumer Services
ACAD,ACADIA Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
LUNR,Intuitive Machines Inc. Class A Common Stock,Industrials,Industrial Machinery/Components
THO,Thor Industries Inc. Common Stock,Industrials,Homebuilding
WSFS,WSFS Financial Corporation Common Stock,Finance,Major Banks
EXTR,Extreme Networks Inc. Common Stock,Telecommunications,Computer Communications Equipment
POST,Post Holdings Inc. Common Stock,Consumer Staples,Packaged Foods
EPAM,EPAM Systems Inc. Common Stock,Technology,EDP Services
ANDG,Andersen Group Inc. Class A Common Stock,Consumer Discretionary,Business Services
INSW,International Seaways Inc. Common Stock,Consumer Discretionary,Marine Transportation
SMG,Scotts Miracle-Gro Company (The) Common Stock,Industrials,Agricultural Chemicals
REGCO,Regency Centers Corporation 5.875% Series B Cumulative Redeemable Preferred Stock,Real Estate,Real Estate Investment Trusts
BNL,Broadstone Net Lease Inc. Common Stock,Real Estate,Real Estate Investment Trusts
ONDS,Ondas Inc. Common Stock,Technology,Radio And Television Broadcasting And Communications Equipment
DORM,Dorman Products Inc. Common Stock,Consumer Discretionary,Auto Parts:O.E.M.
MAT,Mattel Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
PDI,PIMCO Dynamic Income Fund Common Stock,Finance,Trusts Except Educational Religious and Charitable
RNST,Renasant Corporation Common Stock,Finance,Major Banks
APLE,Apple Hospitality REIT Inc. Common Shares,Real Estate,Real Estate Investment Trusts
MMED,MiniMed Group Inc. Common Stock,Health Care,Medical/Dental Instruments
NTSK,Netskope Inc. Class A Common Stock,Technology,Computer Software: Prepackaged Software
CDP,COPT Defense Properties Common Shares of Beneficial Interest,Real Estate,Real Estate Investment Trusts
BTDR,Bitdeer Technologies Group Class A Ordinary Shares,Finance,Finance: Consumer Services
ANF,Abercrombie & Fitch Company Common Stock,Consumer Discretionary,Clothing/Shoe/Accessory Stores
LIF,Life360 Inc. Common Stock,Technology,EDP Services
CVBF,CVB Financial Corporation Common Stock,Finance,Major Banks
IRT,Independence Realty Trust Inc. Common Stock,Real Estate,Real Estate Investment Trusts
BELFB,Bel Fuse Inc. Class B Common Stock,Others,Others
FLY,Firefly Aerospace Inc. Common Stock,Industrials,Military/Government/Technical
CDNL,Cardinal Infrastructure Group Inc. Class A Common Stock,Industrials,Military/Government/Technical
CNS,Cohen & Steers Inc Common Stock,Finance,Investment Managers
CAKE,Cheesecake Factory Incorporated (The) Common Stock,Consumer Discretionary,Restaurants
OII,Oceaneering International Inc. Common Stock,Energy,Oilfield Services/Equipment
DNLI,Denali Therapeutics Inc. Common Stock,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
BCO,Brinks Company (The) Common Stock,Industrials,Integrated Freight & Logistics
GEO,Geo Group Inc (The) REIT,Consumer Discretionary,Homebuilding
STNG,Scorpio Tankers Inc. Common Shares,Consumer Discretionary,Marine Transportation
SKYW,SkyWest Inc. Common Stock,Consumer Discretionary,Air Freight/Delivery Services
BBAR,Banco BBVA Argentina S.A. ADS,Finance,Commercial Banks
MKTX,MarketAxess Holdings Inc. Common Stock,Finance,Investment Bankers/Brokers/Service
PHI,PLDT Inc. Sponsored ADR,Telecommunications,Telecommunications Equipment
ELF,e.l.f. Beauty Inc. Common Stock,Consumer Discretionary,Package Goods/Cosmetics
PTRN,Pattern Group Inc. Series A Common Stock,Consumer Discretionary,Catalog/Specialty Distribution
EXLS,ExlService Holdings Inc. Common Stock,Consumer Discretionary,Business Services
CHEF,The Chefs' Warehouse Inc. Common Stock,Consumer Discretionary,Food Distributors
CPRX,Catalyst Pharmaceuticals Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
LFST,LifeStance Health Group Inc. Common Stock,Health Care,Medical/Nursing Services
JOE,St. Joe Company (The) Common Stock,Real Estate,Homebuilding
USAC,USA Compression Partners LP Common Units Representing Limited Partner Interests,Utilities,Natural Gas Distribution
HGTY,Hagerty Inc. Class A Common Stock,Finance,Specialty Insurers
IRTC,iRhythm Holdings Inc. Common Stock,Health Care,Medical/Dental Instruments
VEON,VEON Ltd. ADS,Telecommunications,Telecommunications Equipment
BANF,BancFirst Corporation Common Stock,Finance,Major Banks
RCUS,Arcus Biosciences Inc. Common Stock,Health Care,Biotechnology: Pharmaceutical Preparations
KBH,KB Home Common Stock,Consumer Discretionary,Homebuilding
KAI,Kadant Inc Common Stock,Industrials,Industrial Machinery/Components
NP,Neptune Insurance Holdings Inc. Class A Common Stock,Finance,Specialty Insurers
LOPE,Grand Canyon Education Inc. Common Stock,Real Estate,Other Consumer Services
CON,Concentra Group Holdings Parent Inc. Common Stock,Health Care,Medical Specialities
YETI,YETI Holdings Inc. Common Stock,Consumer Discretionary,Recreational Games/Products/Toys
MANU,Manchester United Ltd. Class A Ordinary Shares,Consumer Discretionary,Services-Misc. Amusement & Recreation
OTTR,Otter Tail Corporation Common Stock,Utilities,Electric Utilities: Central
ABG,Asbury Automotive Group Inc Common Stock,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
CNK,Cinemark Holdings Inc Cinemark Holdings Inc. Common Stock,Consumer Discretionary,Movies/Entertainment
